# X, Y, Xs, Ys, Zs, Xv, Yv, Zv
-9.375473001039782428e-01,3.899003300061216204e-01,6.294700431927146012e-01,-7.487358630893640177e-01,-2.723587327733937302e-01,4.209617752791411149e+00,4.149452023907982401e+00,-1.828344179360314570e+00
-9.538661929165258568e-01,3.488702450542195410e-01,6.589052610643398866e-01,-7.184064367254501260e-01,-2.851441924473199219e-01,4.036255089270075480e+00,4.346870573022917128e+00,-1.753327070142982613e+00
-9.683539568918614338e-01,3.071704682309905898e-01,6.870755719709530362e-01,-6.866979200751857082e-01,-2.973822579552666823e-01,3.855278850848895544e+00,4.535797349046204019e+00,-1.675002444569110072e+00
-9.809841285703176927e-01,2.648814168380818623e-01,7.139278781070048652e-01,-6.536720845520743728e-01,-3.090498604303044683e-01,3.667030332714958263e+00,4.715899557464743097e+00,-1.593518029409648484e+00
-9.917336372300458169e-01,2.220845805764287417e-01,7.394114903853792331e-01,-6.193931040410410871e-01,-3.201249735584850153e-01,3.471862300415646807e+00,4.886859355116632386e+00,-1.509026536063359902e+00
-1.000582908087083833e+00,1.788621128575412222e-01,7.634783722489696389e-01,-5.839272277818310375e-01,-3.305867195380947088e-01,3.270137250341254909e+00,5.048375287588733329e+00,-1.421684907425405875e+00
-1.007515786254055357e+00,1.352971488944190726e-01,7.860829534697252319e-01,-5.473430367752158965e-01,-3.404152881526981145e-01,3.062229006551997035e+00,5.200160853682921136e+00,-1.331655009152541647e+00
-1.012519672204140075e+00,9.147311704083151140e-02,8.071825090023662108e-01,-5.097108763763619210e-01,-3.495921014637360935e-01,2.848519644568617615e+00,5.341946875247575832e+00,-1.239102297675011677e+00
-1.015585455945160032e+00,4.747405966959572510e-02,8.267369802066272255e-01,-4.711031195343289291e-01,-3.580997360969450094e-01,2.629401151673340209e+00,5.473480138673126660e+00,-1.144196539041037575e+00
-1.016707572558397610e+00,3.384028762814875364e-03,8.447092546354106890e-01,-4.315936421001592138e-01,-3.659220449498301608e-01,2.405272622104766000e+00,5.594525132733094708e+00,-1.047110594125805649e+00
-1.015883974810866119e+00,-4.071239948732827824e-02,8.610649443781388523e-01,-3.912582779419798151e-01,-3.730440607414752807e-01,2.176543023830222356e+00,5.704862429749975483e+00,-9.480216170223129124e-01
