# X, Y, Xs, Ys, Zs, Xv, Yv, Zv
-1.719161406918618074e+00,2.468330112605708893e-01,1.622687651272299414e+00,-2.679133879975877375e-01,-5.581663564085580509e-01,8.730209691884815992e-01,2.869276837854851880e+00,-8.172095473432151591e-01
-1.731011165539450225e+00,2.115152859782541694e-01,1.632317949457664286e+00,-2.332139525223710097e-01,-5.677039154805331167e-01,7.262127404551809162e-01,2.891882158443237039e+00,-7.664307827892080649e-01
-1.741059640207842873e+00,1.756998995104441796e-01,1.640238008342440601e+00,-1.979978226441508893e-01,-5.766933879156610487e-01,5.791667746661498528e-01,2.911260630407399130e+00,-7.150099869780714990e-01
-1.749264032367026545e+00,1.394676039165110293e-01,1.646411080028448382e+00,-1.623441153548316196e-01,-5.851075210970868579e-01,4.319480031803712428e-01,2.927403696759645069e+00,-6.629698658856821858e-01
-1.755589033722451564e+00,1.029020859100426566e-01,1.650807564622174928e+00,-1.263349503912012117e-01,-5.929212085151162048e-01,2.846214336629560027e-01,2.940304229176319062e+00,-6.103333989645256530e-01
-1.760007199769581421e+00,6.608940482449444931e-02,1.653405336948662985e+00,-9.005490064704733955e-02,-6.001117056764911917e-01,1.372521213795913075e-01,2.949956531145470962e+00,-5.571238289966171653e-01
-1.762499243633832480e+00,2.911739536710530873e-02,1.654189997051216166e+00,-5.359040670011713803e-02,-6.066588237948982165e-01,-1.009485953003382008e-02,2.956356340482274803e+00,-5.033646518301444495e-01
-1.763054244393567283e+00,-7.924956294134114995e-03,1.653155039368886303e+00,-1.702916380736083785e-02,-6.125450979280742114e-01,-1.573544447871381702e-01,2.959500831211088645e+00,-4.490796060043605875e-01
-1.761669765705474955e+00,-4.494815388352331464e-02,1.650301937058348267e+00,1.954050958142676195e-02,-6.177559266936103466e-01,-3.044616087043967023e-01,2.959388614813328378e+00,-3.942926622673167403e-01
-1.758351882334161731e+00,-8.186284013291006412e-02,1.645640139617400521e+00,5.603031227123103641e-02,-6.222796812443155412e-01,-4.513513928994618007e-01,2.956019740840596377e+00,-3.390280129910510087e-01
-1.753115114047893552e+00,-1.185804437794986121e-01,1.639186983720339663e+00,9.235259998485814692e-02,-6.261077817979530113e-01,-5.979589349787425290e-01,2.949395696892800789e+00,-2.833100614889226820e-01
-1.745982268220011679e+00,-1.550138146217022728e-01,1.630967518934029359e+00,1.284210145235297751e-01,-6.292347406756818584e-01,-7.442194971788368418e-01,2.939519407961275199e+00,-2.271634112397873384e-01
