# X,Y,Xs,Ys,Zs,Xv,Yv,Zv,shellnum
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.199336606265368843e+01,-2.962520681856159466e-01,-1.789086672030311220e+01,2.642922090063248319e+01,2.253088522181630360e+00,-9.023646373744249605e-01,-6.069313222471641733e-01,-5.174083644194295284e-02,1.000000000000000000e+00
-3.178470620907543420e+01,-3.587518850701768791e+00,-2.052132797093171845e+01,2.444727692669831853e+01,2.084127990349560200e+00,-8.321287792613272227e-01,-6.999566033864186299e-01,-5.967123264982200637e-02,1.000000000000000000e+00
-3.122425953056823289e+01,-6.839074701516000054e+00,-2.292465907524556812e+01,2.219475807894333741e+01,1.892100976728698036e+00,-7.525747747535591614e-01,-7.853598436392786875e-01,-6.695185061030960172e-02,1.000000000000000000e+00
-3.031751749403222362e+01,-1.001476210706471903e+01,-2.507372633194972167e+01,1.969609683407258416e+01,1.679090347591929433e+00,-6.644454636320944463e-01,-8.622706992132180837e-01,-7.350849359938331495e-02,1.000000000000000000e+00
-2.907341254535072039e+01,-1.307898535307395349e+01,-2.694376232053160791e+01,1.697827701411635459e+01,1.447396471154028585e+00,-5.685551003048492369e-01,-9.298714648671371208e-01,-7.927145232443183476e-02,1.000000000000000000e+00
-2.750430809109768404e+01,-1.599696123126078895e+01,-2.851256951272868179e+01,1.407068769917427353e+01,1.199524763647237258e+00,-4.657907374059122030e-01,-9.874005117993369662e-01,-8.417579800387206546e-02,1.000000000000000000e+00
-2.562595641974182570e+01,-1.873503277528375222e+01,-2.976075878143823061e+01,1.100491585853235144e+01,9.381680111440765524e-01,-3.571121560891412638e-01,-1.034158192168301849e+00,-8.816188572697368497e-02,1.000000000000000000e+00
-2.345747232955863382e+01,-2.126093330839974982e+01,-3.067195512223251797e+01,7.814579339886014608e+00,6.661921319047859891e-01,-2.435537570778158467e-01,-1.069512896711278582e+00,-9.117587086525663631e-02,1.000000000000000000e+00
-2.102127074521873595e+01,-2.354410823603046765e+01,-3.123303168538400598e+01,4.535098196803899029e+00,3.866166820657563896e-01,-1.262246057742600902e-01,-1.092909618592164733e+00,-9.317043913969405566e-02,1.000000000000000000e+00
-1.834298397710283268e+01,-2.555604134355993295e+01,-3.143433633944585637e+01,1.203446620214126739e+00,1.025937078227621146e-01,-6.307873746373426904e-03,-1.103879851788213351e+00,-9.410565045722033006e-02,1.000000000000000000e+00
-1.545132837166604389e+01,-2.727060642886047148e+01,-3.126991145886299250e+01,-2.142151116009685552e+00,-1.826181751783866325e-01,1.149419307166816839e-01,-1.102052968361079799e+00,-9.394990882198582527e-02,1.000000000000000000e+00
-1.237801407974296986e+01,-2.866438423375459266e+01,-3.073770854312315137e+01,-5.462469803194837326e+00,-4.656750216971964340e-01,2.362002535427157324e-01,-1.087169036345794870e+00,-9.268105505915061326e-02,1.000000000000000000e+00
-9.157485047942945044e+00,-2.971706858304973409e+01,-2.983978362298105935e+01,-8.717722578415653345e+00,-7.431850055225011076e-01,3.560815479763290714e-01,-1.059092853270545920e+00,-9.028756317108670160e-02,1.000000000000000000e+00
-5.826750603661255745e+00,-3.041180246644072227e+01,-2.858248473805579337e+01,-1.186788557938555400e+01,-1.011736096270570373e+00,4.731454369167651386e-01,-1.017829138637422304e+00,-8.676983549489007685e-02,1.000000000000000000e+00
-2.425023508044739096e+00,-3.073556809050589678e+01,-2.697657770633217567e+01,-1.487321311379352018e+01,-1.267939977521150841e+00,5.859115431702662802e-01,-9.635371381924727752e-01,-8.214144771498892161e-02,1.000000000000000000e+00
1.006582801270748950e+00,-3.067952838369584612e+01,-2.503736403840218117e+01,-1.769467695572815913e+01,-1.508469496795072917e+00,6.928736142757943028e-01,-8.965459350513839132e-01,-7.643045413512471187e-02,1.000000000000000000e+00
4.425488618917082562e+00,-3.023937060213000549e+01,-2.278472800086183270e+01,-2.029451622157950652e+01,-1.730105542421623843e+00,7.925201844748059887e-01,-8.173680189788344874e-01,-6.968054445810308029e-02,1.000000000000000000e+00
7.788151385367661383e+00,-2.941560644853283080e+01,-2.024310934866484502e+01,-2.263682070534266444e+01,-1.929786772816691975e+00,8.833592607929148244e-01,-7.267103225318585213e-01,-6.195198461594671885e-02,1.000000000000000000e+00
1.105062363409361126e+01,-2.821381935399843854e+01,-1.744140190713402561e+01,-2.468813050734640058e+01,-2.104660734773803554e+00,9.639465435183178776e-01,-6.254820408582668634e-01,-5.332228340695344126e-02,1.000000000000000000e+00
1.416919290508389651e+01,-2.664483603240304532e+01,-1.441274378026988146e+01,-2.641806217990203720e+01,-2.252137242320050525e+00,1.032917587666174253e+00,-5.147972366834662195e-01,-4.388641457057027018e-02,1.000000000000000000e+00
1.710099417040734693e+01,-2.472486089298080358e+01,-1.119429173489736584e+01,-2.779989161672205356e+01,-2.369938067982580332e+00,1.089020941012061261e+00,-3.959748151367825098e-01,-3.375681464133992171e-02,1.000000000000000000e+00
1.980482898977420447e+01,-2.247543060849779906e+01,-7.826731553192733060e+00,-2.881120994829874604e+01,-2.456152857806096712e+00,1.131156497316751164e+00,-2.705260025623715259e-01,-2.306231551874354108e-02,1.000000000000000000e+00
2.224184695484940377e+01,-1.992334288692687849e+01,-4.353842811248206601e+00,-2.943445080060560315e+01,-2.509284080106095605e+00,1.158410366495375765e+00,-1.401402888715185258e-01,-1.194694605409576255e-02,1.000000000000000000e+00
2.437636064633101185e+01,-1.710037224239657050e+01,-8.218123453511143595e-01,-2.965741148460033827e+01,-2.528291456823518413e+00,1.170090317793548440e+00,-6.658089124686239479e-03,-5.676014530619014065e-04,1.000000000000000000e+00
