# X, Y, Xs, Ys, Zs, Xv, Yv, Zv
-1.046462334497867269e-01,-7.470059403455903135e-02,7.836545690268706399e-02,4.860693069570038577e-02,-8.959483454485384080e-02,-5.350931025484092010e-03,-3.645822527438932759e-02,3.027738760200280460e-02
-1.020896242826346556e-01,-7.474601886317390476e-02,7.806492830117539583e-02,4.665839288027628928e-02,-8.796658493556280822e-02,-5.956448062251817888e-03,-3.682692733340604818e-02,3.096465955131705999e-02
-9.948995590667492062e-02,-7.475991304146446803e-02,7.773146980602592404e-02,4.469017734250997631e-02,-8.630123159705971325e-02,-6.589742351128057181e-03,-3.719818896393288499e-02,3.167299448106313670e-02
-9.684614446092523754e-02,-7.474066185552621921e-02,7.736354403902388766e-02,4.270212282425123185e-02,-8.459759447864392823e-02,-7.252898888410255762e-03,-3.757179642227876509e-02,3.240367751318825457e-02
-9.415722405291902797e-02,-7.468652636521397326e-02,7.695952210170131647e-02,4.069420766902923092e-02,-8.285453205420367784e-02,-7.948177068151755786e-03,-3.794745388774260070e-02,3.315805445952455660e-02
-9.142189579258919174e-02,-7.459562277616450798e-02,7.651760585017525207e-02,3.866621776801802690e-02,-8.107064552690018688e-02,-8.678154582628805000e-03,-3.832483426930387294e-02,3.393766831181540405e-02
-8.863905875365142573e-02,-7.446591664581911352e-02,7.603589345042899295e-02,3.661814975504085884e-02,-7.924461807812414882e-02,-9.445624062848684277e-03,-3.870348977167231697e-02,3.474412260906507843e-02
-8.580741131224375873e-02,-7.429519541609752586e-02,7.551230270174266734e-02,3.454992122158623280e-02,-7.737495061250293515e-02,-1.025373645109452919e-02,-3.908288886705542364e-02,3.557920747656642679e-02
-8.292561555480180979e-02,-7.408105167092660093e-02,7.494457843621486759e-02,3.246150164492545009e-02,-7.546006232297867988e-02,-1.110600455564352863e-02,-3.946237065892790191e-02,3.644486881214918650e-02
-7.999232540142663106e-02,-7.382086404807414182e-02,7.433027978446533901e-02,3.035294138563449790e-02,-7.349830303031024137e-02,-1.200634776872128856e-02,-3.984111356289948142e-02,3.734321635816593293e-02
-7.700598936192885879e-02,-7.351175230512782544e-02,7.366671519153031311e-02,2.822424106492217935e-02,-7.148781304375652346e-02,-1.295921784263538365e-02,-4.021812603800543201e-02,3.827660386862684339e-02
-7.396516678377317022e-02,-7.315057516491710321e-02,7.295098258116725076e-02,2.607559118568737386e-02,-6.942672561102608553e-02,-1.396957830919343460e-02,-4.059216279517076365e-02,3.924755379888170137e-02
-7.086825209624368627e-02,-7.273386794185318638e-02,7.217987889012861258e-02,2.390718933470066532e-02,-6.731297113098505536e-02,-1.504308299939872626e-02,-4.096170604442542912e-02,4.025886700979874888e-02
-6.771348728078692425e-02,-7.225779365055411130e-02,7.134985953637393297e-02,2.171926948925474374e-02,-6.514427050757563842e-02,-1.618619049706665480e-02,-4.132489398780793410e-02,4.131364973587439704e-02
